trip_id,initial_battery_kwh,end_batt_lvl_pct,end_batt_voltage,estimated_end_batt_lvl_pct,conso_kwh,regen_kwh,conso_corrected_kwh,average_wh/km,voltage_sag_coeff
0,2.7,77,141.36,67.0,0.94,-0.05,0.89,31.08,-0.712
1,2.7,67,137.44,48.0,1.45,-0.05,1.4,33.61,-0.405
2,2.7,89,144.98,79.0,0.6,-0.03,0.57,40.21,-0.834
