stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-51.1284046692607,3.1,-1338.0,-10.8,-36.9,27.0,,18.0,24.0
max,0,132.43243243243242,40.9,2598.0,22.35,28.9,29.0,,19.0,99.0
mean,0,18.473462362019916,23.74952646239554,436.4785515320334,3.671384401114206,5.443899721448467,27.66434540389972,,18.560724233983287,54.842061281337045
std_dev,0,23.199155838063323,8.687536416772696,541.6007716850053,4.552805399683918,7.77819360379135,0.47989277724686563,,0.49636800588586083,16.743616398310245
