trip_id,initial_battery_kwh,end_batt_lvl_pct,end_batt_voltage,estimated_end_batt_lvl_pct,conso_kwh,regen_kwh,conso_corrected_kwh,average_wh/km,voltage_sag_coeff
0,0.75,82,80.6,79.0,0.16,0.0,0.16,20.43,-0.468
1,0.735,20,70.6,35.0,0.47,0.0,0.47,22.03,-0.325
2,0.75,55,76.3,59.0,0.31,0.0,0.31,20.8,-0.411
3,0.75,82,80.7,84.0,0.12,0.0,0.12,16.73,-0.413
