trip_id,initial_battery_kwh,end_batt_lvl_pct,end_batt_voltage,estimated_end_batt_lvl_pct,conso_kwh,regen_kwh,conso_corrected_kwh,average_wh/km,voltage_sag_coeff
0,0.75,67,75.53,65.0,0.27,-0.01,0.26,21.75,-0.598
1,0.675,61,74.94,63.0,0.21,-0.01,0.2,19.85,-0.576
2,0.75,87,79.14,84.0,0.13,-0.0,0.12,20.82,-0.785
3,0.6525,63,74.97,66.0,0.17,-0.01,0.16,22.83,-0.661
4,0.7425,23,70.36,56.00000000000001,0.34,-0.02,0.32,19.83,-0.328
