data_origin,trip_id,trip_type,trip_distance_km,rider_weight_kg,wheel_weight_kg,global_weight_kg,tire_pressure_bars,outdoor_temperature_c,wind,rain,altitude_difference
wheel_log,0,commute,9.869,90.0,24.0,114.0,2.2,10.0,low,True,
wheel_log,1,commute,22.562,90.0,24.0,114.0,2.2,10.0,low,True,
