trip_id,initial_battery_kwh,end_batt_lvl_pct,end_batt_voltage,estimated_end_batt_lvl_pct,conso_kwh,regen_kwh,conso_corrected_kwh,average_wh/km,voltage_sag_coeff
0,0.995,85,55.02,82.0,0.19,-0.01,0.18,16.89,-0.589
1,0.995,48,50.3,47.0,0.55,-0.02,0.53,23.17,-0.121
