stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-68.84322881921281,3.01,-1463.4,-27.05,0.0,24.0,,,
max,0,589.7922077922077,39.58,3607.54,72.05,0.0,64.0,,,
mean,0,23.170412755533743,27.816585365853655,619.251795078878,11.826816884725138,0.0,51.32124589457815,,,
std_dev,0,26.044876011183042,6.9439715446350805,541.843283165264,10.282503976336697,0.0,7.115960785908132,,,
min,1,-58.34948096885813,3.01,-1208.7,-21.58,0.0,14.0,,,
max,1,141.9647177419355,33.85,2331.5,43.2,0.0,25.0,,,
mean,1,16.893330594995938,23.04089708798664,409.18103799185894,7.49388581567686,0.0,19.856330236927253,,,
std_dev,1,17.62368027009603,6.329866058216847,389.2937432589958,7.122834434449062,0.0,2.953685225894313,,,
