trip_id,initial_battery_kwh,end_batt_lvl_pct,end_batt_voltage,estimated_end_batt_lvl_pct,conso_kwh,regen_kwh,conso_corrected_kwh,average_wh/km,voltage_sag_coeff
0,2.4,66.0,123.5,65.0,0.87,-0.03,0.84,43.04,-0.261
1,2.4,16.0,110.3,25.0,1.91,-0.12,1.79,35.09,-0.202
