stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-161.32344552196233,3.06,-3155.0,-25.8,-140.09,27.0,24.0,,43.0
max,0,489.6202531645569,55.11,6809.0,53.93,96.8,45.0,92.0,,100.0
mean,0,43.04070780053503,39.773268821022725,1755.8048650568182,14.046427556818184,23.421390269886366,41.30131392045455,67.70330255681819,,60.11700994318182
std_dev,0,44.198434116357056,11.604885347797984,1457.3252834578445,11.659524592100928,25.84180374265317,3.0512019133680357,18.541726851208722,,11.766899947385085
min,1,-486.875,3.02,-3998.0,-34.29,-157.59,26.0,20.0,,39.0
max,1,398.1308411214953,54.86,6464.0,55.46,129.5,38.0,84.0,,100.0
mean,1,35.091334335104065,33.65464399883755,1221.8930543446672,10.251015402499274,18.27976169718105,33.712176692821856,69.54617843650102,,63.69723917465853
std_dev,1,45.54838231768094,11.23244309514349,1314.6807051080498,10.93766275385845,28.082390778034124,1.833620930366583,14.042679492050285,,12.087610122119132
