data_origin,trip_id,trip_type,trip_distance_km,rider_weight_kg,wheel_weight_kg,global_weight_kg,tire_pressure_bars,outdoor_temperature_c,wind,rain,altitude_difference
euc_world,0,commute,12.689,85.0,23.5,108.5,2.5,25.0,low,False,37.5
euc_world,1,commute,11.19,80.0,23.5,103.5,2.4,19.0,low,False,47.4
euc_world,2,commute,6.44,81.0,23.5,104.5,2.4,20.0,mid,False,115.9
euc_world,3,commute,14.269,81.0,23.5,104.5,2.4,20.0,mid,False,30.1
