stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-92.60918253079508,3.04,-2110.0,-14.4,-34.8,18.0,,14.0,0.0
max,0,547.4668745128605,64.98,8367.0,60.0,65.8,28.0,,26.0,100.0
mean,0,39.61777452439242,38.72876080691643,1674.9337175792507,11.856298430995837,13.15821325648415,23.998078770413063,,18.384245917387126,49.08997758565482
std_dev,0,53.22725049404896,17.879973211885936,2010.618893796659,14.309924077407715,18.616930162374103,2.2123053212158807,,2.903801706297946,23.19215967595764
min,1,-76.09582059123343,3.04,-3442.0,-26.4,-62.9,21.0,,17.0,17.0
max,1,872.7904667328698,64.98,8789.0,64.5,87.1,29.0,,24.0,100.0
mean,1,28.596102349705085,31.492334230278992,1036.6968134825095,7.653341169805976,9.989004390312989,25.490213850729358,,20.429174337912478,54.85517632063447
std_dev,1,35.146139446487105,15.090390640848506,1281.3867135938535,9.519093583662908,13.198480417257567,1.6015803866893341,,1.4189041104623699,20.522178893825473
