stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-132.27953410981698,3.06,-2928.0,-23.0,-112.7,14.0,,,46.0
max,0,428.8888888888889,51.15,6389.0,51.94,150.89,19.0,,,99.0
mean,0,33.816898761765586,37.3911288998358,1223.5974274767377,9.929551176792556,17.916247947454846,17.1044061302682,,,61.50232621784346
std_dev,0,36.93225782356032,11.152056451705931,1087.4399356951071,8.839042502391791,20.206840179830152,0.9880452881975629,,,11.515140546740216
