data_origin,trip_id,trip_type,trip_distance_km,rider_weight_kg,wheel_weight_kg,global_weight_kg,tire_pressure_bars,outdoor_temperature_c,wind,rain,altitude_difference
euc_world,0,commute,9.832,81.5,38.8,120.3,2.2,12.0,low,False,26.1
euc_world,1,trail,63.993,75.0,38.8,113.8,2.2,20.0,low,False,72.2
